samples,P1,P11,P12,P14,P15,P16,P18,P2,P22,P24,P26,P27,P29,P3,P30,P4,P5,P6,P9,
4183,0,0.22675737,0.371853547,0,0,0,0.014365752,0.408163265,0.204081633,0,0.121212121,0,0.298221323,0.025237655,0.484744796,0.571615221,0,0.185905019,0.101979604,
5437,0,0.128167209,0.228832952,0,0,0.005830904,0,0.446669234,0.12755102,0.007637086,0.222222222,0,0.287570561,0,0.437220797,0.604278948,0,0.152104107,0.095980804,
4018,0,0,0.028604119,0.2371854,0.40090203,0.437317784,0.086194512,0.069310743,0.204081633,0,0.171717172,0,0.106507615,0.193488685,0,0,0.350672122,0.185905019,0.119976005,
4938,0,0,0,0,0,0.104956268,0.430972561,0.046207162,0,0.588055598,0,0,0,0.60570371,0,0.269475747,0,0,0.173965207,
3586,0,0,0,0,0.008352126,0.052478134,0.445338313,0.053908356,0,0.54987017,0,0,0,0.546815849,0,0.269475747,0,0,0.329934013,
4905,0,0,0,0,0,0.064139942,0.351960925,0.046207162,0,0.519321827,0,0,0,0.454277782,0,0.359300996,0.029222677,0,0.377924415,
4921,0,0.009859016,0,0,0,0.064139942,0.545898578,0.069310743,0,0.473499313,0,0,0,0.429040128,0,0.302139474,0,0,0.221955609,
4606,0,0,0,0,0,1.224489796,0,0.600693107,0,0,0,0,0,0,0,0,0,0,0,
3364,0.07624857,1.301390121,0,0.006588483,0.34243715,0.005830904,0,0,0.459183673,0.1069192,0.04040404,0.013618412,0,0.201901237,0,0,0.029222677,0.388710495,0.0059988,
4449,0,0,0,0,0.785099808,0,0.007182876,0,0,0,0.707070707,0.994144083,0,0,0.190095998,0,0,0,0,
5800,0,0.009859016,0.085812357,0.184477533,0.40090203,0.489795918,0.100560264,0.038505968,0.306122449,0,0.141414141,0,0.095856854,0.10936317,0,0,0.409117475,0.13520365,0.089982004,
4678,0,0,0,0.21741995,0.258915894,0.454810496,0.07182876,0.061609549,0.178571429,0,0.141414141,0,0.106507615,0.159838479,0,0,0.292226768,0.152104107,0.089982004,
3178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.75764847,
5438,0.012708095,0.266193434,0.200228833,0,0,0,0,0.35425491,0.12755102,0,0.111111111,0,0.266269038,0,0.399201597,0.596113016,0,0.177454791,0.113977205,
3817,0.10166476,0.187321305,0.057208238,0.1976545,0.100225507,0,0.172389025,0.177127455,0.306122449,0.229112571,0.01010101,0.503881247,0.127809138,0.042062758,0.190095998,0.195982362,0,0.169004563,0.071985603,
